Nama,Total_Debt,Total_Equity,Current_Assets,Current_Liabilities,Net_Income,Revenue,COGS,Dividend_Payout
AISA,218426000.0,1047516000.0,620106000.0,584216000.0,69472000.0,1920620000.0,707697000.0,0.0
HOKI,407426072.72,647728623.63,730730404.53,432851967.19,-3000946.56,1298675060.0,104216657.25,0.0
BUVA,550359022.38,1352042138.94,275346990.04,228846277.36,8455404.38,355259333.59,250788156.41,0.0
EMTK,1277307000.0,35476367000.0,14740221000.0,4791628000.0,4845213000.0,13690463000.0,4400234000.0,0.0
LSIP,3558000.0,12559186000.0,7117283000.0,677973000.0,1599404000.0,4562503000.0,1991961000.0,0.0
RALS,1379603000000.0,3576758000000.0,3250889000000.0,899956000000.0,314055000000.0,2760507000000.0,1392924000000.0,0.0
AUTO,5441894000000.0,15588124000000.0,8883749000000.0,4481577000000.0,2033641000000.0,19073703000000.0,3065663000000.0,0.5830207986562034
SMBR,1639441913000.0,3268244932000.0,1000678460000.0,822078827000.0,129254004000.0,2091352268000.0,598451163000.0,0.1881116812443195
SCMA,2459004658000.0,8356246581000.0,7252331858000.0,2197525030000.0,594853668000.0,7057824443000.0,2527300541000.0,1.0652933302581569
KPIG,7312391677778.0,28515107382865.0,3993283167060.0,4205429831120.0,658629034066.0,1770144397893.0,543151377048.0,0.0
